dataset,horizon_min,model,C_u_over_C_o,total_cost_dollars,cost_waste_dollars,cost_violation_dollars,cost_per_vcpu_month,violation_rate,waste_rate,mean_violation_pp,mean_waste_pp,savings_vs_naive_dollars,savings_vs_naive_pct,n_timesteps
ByteDance,30,extratrees,5,40.47261120194534,6.728350893843665,33.74426030810168,2.728618387134289,0.486243113753765,0.513741280022473,1.3165511926315872,1.3125518699852647,11.246527897175753,21.7453888310505,64077
ByteDance,30,bilstm,5,,,,,0.49409304430606926,0.5057352872325483,,,,,64077
ByteDance,30,linear_reg,5,57.6105842590332,9.02548885345459,48.5850944519043,3.8840415477752686,0.5196404326045226,0.4803595673954773,1.8955745697021484,1.760672688484192,-5.891445159912109,-11.391228675842285,64077
ByteDance,30,naive,10,94.86865997314453,8.569619178771973,86.29904174804688,6.395939350128174,0.4818109462053467,0.4838865739656975,1.6835029125213623,1.6717424392700195,0.0,0.0,64077
ByteDance,30,hetero_ensemble,10,90.4098095169565,8.0079007655196,82.40190875143689,6.095328700052313,0.4916584733991916,0.5083415266008084,1.607478282992277,1.5621636401360082,4.458850456188031,4.700024705155786,64077
ByteDance,30,homo_ensemble,10,89.11392754936209,7.8984432788352725,81.21548427052682,6.0079617805647,0.49223590367838693,0.507764096321613,1.5843337755849762,1.5408109147656865,5.754732423782443,6.065999483297746,64077
ByteDance,30,xgboost,10,80.0376205444336,7.204257011413574,72.83336639404297,5.396047592163086,0.49808823758915055,0.5019117624108494,1.4208171367645264,1.405390739440918,14.831039428710938,15.633234024047852,64077
ByteDance,30,lightgbm,10,82.02110856793628,7.596457079929406,74.42465148800687,5.529771821612821,0.4996956786366403,0.5003043213633597,1.451859705666754,1.4819001123510394,12.84755140520825,13.542461133998458,64077
ByteDance,30,extratrees,10,74.21687151004703,6.728350893843665,67.48852061620336,5.003618848001672,0.486243113753765,0.513741280022473,1.3165511926315872,1.3125518699852647,20.651788463097503,21.768820671593364,64077
ByteDance,30,bilstm,10,,,,,0.49409304430606926,0.5057352872325483,,,,,64077
ByteDance,30,linear_reg,10,106.1956787109375,9.02548885345459,97.1701889038086,7.159594535827637,0.5196404326045226,0.4803595673954773,1.8955745697021484,1.760672688484192,-11.327018737792969,-11.939684867858887,64077
ByteDance,60,naive,1,18.196327209472656,9.025737762451172,9.170589447021484,1.2321410179138184,0.4868647919997492,0.4829775228063576,1.7968018054962158,1.768420934677124,0.0,0.0,63798
