container_id,mae_naive,mae_ensemble,n_timesteps,skill,ens_wins,horizon,acf_24h,acf_quartile
c_12903,0.75625,1.2382035209555398,320,-0.6372938603893054,0,120min,0.0260770138492222,Q1 (low)
c_12910,0.4125,0.44577270274713,320,-0.08066111318393253,0,120min,-0.002357833729764,Q1 (low)
c_12931,2.3710692,2.9772636534122516,318,-0.25566291458072793,0,120min,0.0669815852225496,Q2
c_12935,1.7056962,1.342131646341276,316,0.21314731982219984,1,120min,0.8049277671602206,Q4 (high)
c_12954,3.586207,2.9809807334647265,319,0.16876499159506414,1,120min,0.7560075408099601,Q4 (high)
c_12959,12.305296,11.87319094309257,321,0.035115368462509754,1,120min,0.1599911303987502,Q2
c_12962,3.8753893,3.0519478624591274,321,0.21247967710086,1,120min,0.7399247633219839,Q4 (high)
c_12981,0.95,0.9521113204840155,320,-0.00222245519098754,0,120min,0.6843965587672093,Q3
c_12991,3.7264152,3.5153510651694666,318,0.05663998326492171,1,120min,0.640348990045729,Q3
c_13013,2.834395,1.744339819426515,314,0.38458123818231,1,120min,0.8417757238249992,Q4 (high)
c_13025,1.7398119,1.9128087344833116,319,-0.09943421899583293,0,120min,0.2734857637653252,Q2
c_1304,0.0,0.06298955072753035,314,0.0,0,120min,,
c_13045,5.4075236,5.851961910356653,319,-0.08218887397421169,0,120min,0.2012778486065425,Q2
c_1306,0.0,0.02842624530476856,321,0.0,0,120min,,
c_13073,5.26875,4.237311092663153,320,0.19576542077958145,1,120min,,
c_13083,1.5714285,1.5059723611434832,322,0.041653931228009956,1,120min,0.4572846796419029,Q3
c_13086,3.691824,2.3062993058167005,318,0.37529542816489214,1,120min,0.1567188989185281,Q2
c_13122,7.3375797,5.987737160444309,314,0.18396291650906987,1,120min,0.7589736147602739,Q4 (high)
c_13131,0.0,0.02405641799406822,319,0.0,0,120min,,
c_13141,0.0,0.020279372163164357,320,0.0,0,120min,-0.0023547880690737,Q1 (low)
c_13165,1.0778816,1.0694928313162075,321,0.007782620569800165,1,120min,0.2133662881177144,Q2
c_13171,2.6050956,2.597850628066019,314,0.002781086724177072,1,120min,0.0729258194529072,Q2
c_13187,1.15625,1.3211943150830625,320,-0.14265454277454054,0,120min,-0.0238246256165457,Q1 (low)
c_13200,1.0943396,1.1588035726146477,318,-0.058906725964921386,0,120min,0.3588058854796387,Q3
c_13204,4.292453,2.3836104537030147,318,0.4446973425237905,1,120min,0.9193258502650664,Q4 (high)
c_13210,0.971875,1.0438921838724724,320,-0.07410126926630223,0,120min,0.173446754366994,Q2
c_13231,4.861635,2.7168265548564987,318,0.4411702156687367,1,120min,0.9709764556035864,Q4 (high)
c_13290,4.81962,2.674390492669629,316,0.4451034689092413,1,120min,0.9307774111129644,Q4 (high)
c_13298,4.5897436,3.8297731137412305,312,0.16558016402154624,1,120min,0.6973502374139152,Q3
c_13314,2.2866044,1.9387799315276841,321,0.15211396962454604,1,120min,0.866356752888667,Q4 (high)
c_13323,0.7006369,0.7077090493991173,314,-0.010093852965290565,0,120min,0.127602092574946,Q2
c_13326,0.062893085,0.12465017161517351,318,-0.9819376208851812,0,120min,,
c_13329,0.8847352,1.0865483440250188,321,-0.22810566519692527,0,120min,0.0537740434599452,Q2
c_13334,2.0980392,2.0930887700996266,306,0.0023595270554645667,1,120min,0.2458050394413457,Q2
c_13348,1.5077882,1.7025227540232917,321,-0.1291524732272572,0,120min,0.1690088926028506,Q2
c_13357,1.5514019,1.5165371946590662,321,0.022473003253347775,1,120min,0.1067279745641703,Q2
c_1339,0.0,0.01968114290858227,320,0.0,0,120min,,
c_13396,12.336449,8.983739435706177,321,0.271772640860131,1,120min,0.2780253523802882,Q2
c_1340,2.5856698,2.5642167061509036,321,0.008296902470053533,1,120min,0.7191359685215393,Q4 (high)
c_13416,0.46105918,0.588132010410378,321,-0.27561066397956535,0,120min,-0.0335516005065398,Q1 (low)
c_13453,6.785489,5.3009849359540215,317,0.2187762928167957,1,120min,0.9114630949176844,Q4 (high)
c_13459,0.79375,0.852340717226102,320,-0.0738150929473707,0,120min,-0.0250438271381951,Q1 (low)
c_1348,0.6740506,0.7587182856017064,316,-0.1256102328261558,0,120min,-0.0011131028573884,Q1 (low)
c_1349,4.224299,3.0466697322867993,321,0.2787750664770825,1,120min,0.7235322116678583,Q4 (high)
c_13497,0.9498433,0.8975403246041748,319,0.0550648339087686,1,120min,0.3593339385201133,Q3
c_13518,0.8039867,0.8895414023938161,301,-0.10641304290544888,0,120min,0.0245711919638179,Q1 (low)
