Horizon,Strategy,variant,target_util,safety_margin,violation_rate,waste_rate,viol_severity
30min,ML-Proactive,ML_tu=0.7,0.7,1.4,0.015636443599580555,0.46904545477109466,0.0141216475646886
30min,ML-Proactive,ML_tu=0.7,0.7,1.467,0.015313561822167863,0.4862151343093702,0.013852818681699323
30min,ML-Proactive,ML_tu=0.7,0.7,1.533,0.014906476354210397,0.5015846010663486,0.01362499809195486
30min,ML-Proactive,ML_tu=0.7,0.7,1.6,0.014436995345777305,0.5154693970341158,0.013418987925890353
30min,ML-Proactive,ML_tu=0.8,0.8,1.0,0.03664011524395747,0.2262915097415666,0.019601230307506427
30min,ML-Proactive,ML_tu=0.8,0.8,1.067,0.030416917308946974,0.2679108693887242,0.018228729406322027
30min,ML-Proactive,ML_tu=0.8,0.8,1.133,0.02690762249365292,0.3040631397112274,0.01729325890587408
30min,ML-Proactive,ML_tu=0.8,0.8,1.2,0.02371818054603973,0.33644884634813865,0.01652651830490444
30min,ML-Proactive,ML_tu=0.8,0.8,1.267,0.020665645318305094,0.3654514246730794,0.015865718241028958
30min,ML-Proactive,ML_tu=0.8,0.8,1.333,0.01918572002333472,0.390888851822739,0.015397337190911365
30min,ML-Proactive,ML_tu=0.8,0.8,1.4,0.017954771108320475,0.41357395644874656,0.01500545407364702
30min,ML-Proactive,ML_tu=0.8,0.8,1.467,0.016737149396126267,0.4340497838775369,0.014653170231677776
30min,ML-Proactive,ML_tu=0.8,0.8,1.533,0.016055644706465328,0.45212845737749546,0.014377707222508591
30min,ML-Proactive,ML_tu=0.8,0.8,1.6,0.015636443599580555,0.46904545477109466,0.0141216475646886
60min,Reactive,lag=1_tu=0.5,0.5,1.0,0.0201470115646548,0.46739013030808213,0.017711706718492065
60min,Reactive,lag=1_tu=0.5,0.5,1.067,0.019392647447960903,0.4938429149032054,0.016860131202166874
60min,Reactive,lag=1_tu=0.5,0.5,1.133,0.01796657235573172,0.5150945475215808,0.01627731067119884
60min,Reactive,lag=1_tu=0.5,0.5,1.2,0.017492858830285344,0.5310580474359463,0.015894203308842517
60min,Reactive,lag=1_tu=0.5,0.5,1.267,0.0157762641150285,0.5480866392565312,0.015363477966873318
60min,Reactive,lag=1_tu=0.5,0.5,1.333,0.015472791387789417,0.5602680110794381,0.015102703139555569
60min,Reactive,lag=1_tu=0.5,0.5,1.4,0.014985507943645362,0.572715407743988,0.014765354660938328
60min,Reactive,lag=1_tu=0.5,0.5,1.467,0.014617269695349157,0.5835380255522427,0.014509780386050755
60min,Reactive,lag=1_tu=0.5,0.5,1.533,0.014504392644363888,0.5938306305099215,0.014235585742404563
60min,Reactive,lag=1_tu=0.5,0.5,1.6,0.014234227899382754,0.6028931878834244,0.014028011968682872
60min,Reactive,lag=1_tu=0.6,0.6,1.0,0.026248540462721893,0.3935690338745487,0.019879978423087297
60min,Reactive,lag=1_tu=0.6,0.6,1.067,0.02275798728498618,0.42383354389963357,0.018830453143859473
60min,Reactive,lag=1_tu=0.6,0.6,1.133,0.020962440315488273,0.4484901096765872,0.018135402300389646
60min,Reactive,lag=1_tu=0.6,0.6,1.2,0.020166749628215068,0.4672393902556371,0.017703995554543873
60min,Reactive,lag=1_tu=0.6,0.6,1.267,0.019621485622362732,0.49042782408316327,0.01695977856884623
60min,Reactive,lag=1_tu=0.6,0.6,1.333,0.01880297279909797,0.5075810044701854,0.01650786849560332
60min,Reactive,lag=1_tu=0.6,0.6,1.4,0.017769808534615322,0.5236982037803632,0.01605825981625193
60min,Reactive,lag=1_tu=0.6,0.6,1.467,0.017365795046116135,0.5365995102365586,0.015757733639898925
