container_id,n_points,et_r2,naive_r2,et_minus_naive_pp,note,horizon
c_1256,340,-0.07948358005787726,-0.11611568927764893,3.663210921977167,,10min
c_12562,343,0.24746989619835014,0.2460218071937561,0.1448089004594033,,10min
c_12596,342,-0.8939793949136585,-0.8679614067077637,-2.601798820589485,,10min
c_12604,342,0.801405232432286,0.7919203042984009,0.9484928133885129,,10min
c_12607,343,0.4748205450998846,0.45566684007644653,1.915370502343805,,10min
c_12645,340,0.9614068172102944,0.9577405452728271,0.3666271937467269,,10min
c_12670,342,0.4893760241465971,0.4727541208267212,1.6621903319875897,,10min
c_12674,339,0.6530153259008213,0.6401547193527222,1.2860606548099174,,10min
c_12689,337,0.8882752986921458,0.8826853632926941,0.558993539945174,,10min
c_12691,339,0.9705804140561927,0.9668276906013489,0.3752723454843787,,10min
c_12695,343,0.9037761124012293,0.9011430740356445,0.26330383655848166,,10min
c_12701,339,0.5397424747642572,0.522480845451355,1.7261629312902205,,10min
c_12715,342,-0.511062655441598,-0.4994162321090698,-1.1646423332528189,,10min
c_12722,336,0.756009823053809,0.7495826482772827,0.6427174776526323,,10min
c_1277,342,0.9210692483358792,0.9183348417282104,0.2734406607668771,,10min
c_12774,343,0.20892536929536676,0.2008177638053894,0.8107605489977354,,10min
c_12775,337,0.7943030653138362,0.7840157151222229,1.028735019161331,,10min
c_12782,341,0.6854896079353292,0.6888870000839233,-0.3397392148594136,,10min
c_12792,340,0.10951863956881513,0.09945023059844971,1.0068408970365428,,10min
c_12798,338,0.4588875357829866,0.43385446071624756,2.503307506673902,,10min
c_12814,342,-0.05788052135474864,-0.08532273769378662,2.7442216339037984,,10min
c_12819,340,0.5417427263888381,0.5366495251655579,0.5093201223280275,,10min
c_12831,338,0.5106043265818161,0.4668318033218384,4.377252325997771,,10min
c_12839,344,0.020551301777368414,-0.011424660682678223,3.1975962460046636,,10min
c_12840,341,0.3623325382263104,0.3451366424560547,1.719589577025571,,10min
c_12859,343,0.6247251722946309,0.6157965064048767,0.8928665889754162,,10min
c_12879,343,0.44157339876444346,0.43337011337280273,0.8203285391640724,,10min
c_12894,336,0.7177389934244736,0.7100005149841309,0.77384784403427,,10min
c_12896,338,0.16396059860006573,0.1349482536315918,2.9012344968473935,,10min
c_12903,342,-0.06475149727811047,-0.020851969718933105,-4.3899527559177365,,10min
c_12910,342,-0.188234331171363,-0.20338594913482666,1.5151617963463648,,10min
c_12931,340,-0.0736963089836673,-0.05366039276123047,-2.0035916222436834,,10min
c_12935,338,0.9134779544346578,0.9110201001167297,0.24578543179281098,,10min
c_12954,341,0.7731617720847869,0.7670848369598389,0.6076935124948002,,10min
c_12959,343,0.35710216751911883,0.35033518075942993,0.6766986759688898,,10min
